RecordingTime_ms_,TimeOfDay_h_m_s_ms_,Trial,Stimulus,ExportStartTrialTime_ms_,ExportEndTrialTime_ms_,Participant,Color,RUNNUMBER,TrackingRatio___,CategoryGroup,CategoryRight,IndexRight,PupilDiameterRight_mm_,PointOfRegardRightX_px_,PointOfRegardRightY_px_,GazeVectorRightX,GazeVectorRightY,GazeVectorRightZ,EyePositionRightX_mm_,EyePositionRightY_mm_,EyePositionRightZ_mm_,PupilPositionRightX_px_,PupilPositionRightY_px_
988014.4,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R28,Khaki,NaN,85.9,Information,Separator,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
988016,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R28,Khaki,NaN,85.9,Eye,-,NaN,0,0,0,0,0,0,0,0,0,0,0
988020,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R28,Khaki,NaN,85.9,Eye,-,NaN,4.1,998.7,586.2,0,0.2,-1,24.4,-13.1,643.6,549.1,557.2
988024,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R28,Khaki,NaN,85.9,Eye,-,NaN,4.1,993,586.4,0,0.2,-1,24.4,-13.1,644,549.3,557.1
988028.1,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R28,Khaki,NaN,85.9,Eye,-,NaN,4.1,986.2,584,0,0.2,-1,24.4,-13.1,644.3,549.4,557
988032.1,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R28,Khaki,NaN,85.9,Eye,-,NaN,0,0,0,0,0,0,0,0,0,0,0
988036.1,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R28,Khaki,NaN,85.9,Eye,Fixation,1,4.1,987.9,593.9,0,0.2,-1,24.4,-13,644.3,549.4,557
988040.1,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R28,Khaki,NaN,85.9,Eye,Fixation,1,4.1,983.6,591.5,0,0.2,-1,24.4,-12.9,644.2,549.5,556.7
988044.1,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R28,Khaki,NaN,85.9,Eye,Fixation,1,4.1,984.6,589.8,0,0.2,-1,24.4,-12.9,644.2,549.5,556.4
988048.1,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R28,Khaki,NaN,85.9,Eye,Fixation,1,0,0,0,0,0,0,0,0,0,0,0
988052.1,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.6,R28,Khaki,NaN,85.9,Eye,Fixation,1,4,983.2,590,0,0.2,-1,24.4,-12.8,644.1,549.6,556.2
