RecordingTime_ms_,TimeOfDay_h_m_s_ms_,Trial,Stimulus,ExportStartTrialTime_ms_,ExportEndTrialTime_ms_,Participant,Color,RUNNUMBER,TrackingRatio___,CategoryGroup,CategoryRight,IndexRight,PupilDiameterRight_mm_,PointOfRegardRightX_px_,PointOfRegardRightY_px_,GazeVectorRightX,GazeVectorRightY,GazeVectorRightZ,EyePositionRightX_mm_,EyePositionRightY_mm_,EyePositionRightZ_mm_,PupilPositionRightX_px_,PupilPositionRightY_px_
193731.5,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,R21,Gray,NaN,86.7,Information,Separator,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
193733.3,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,R21,Gray,NaN,86.7,Eye,-,NaN,0,0,0,0,0,0,0,0,0,0,0
193737.2,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,R21,Gray,NaN,86.7,Eye,-,NaN,4.9,935,514,0,0.2,-1,41.2,5.2,599,474.4,487.4
193741.1,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,R21,Gray,NaN,86.7,Eye,-,NaN,4.9,934.6,515.2,0,0.2,-1,41.3,5.3,599.8,474.3,487.1
193745.1,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,R21,Gray,NaN,86.7,Eye,-,NaN,4.9,934,519.7,0,0.2,-1,41.3,5.4,600.1,474.3,486.9
193749,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,R21,Gray,NaN,86.7,Eye,-,NaN,0,0,0,0,0,0,0,0,0,0,0
193752.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,R21,Gray,NaN,86.7,Eye,Fixation,1,4.9,934.7,513.2,0,0.2,-1,41.4,5.5,601.2,474.2,486.5
193756.9,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,R21,Gray,NaN,86.7,Eye,Fixation,1,4.9,933.9,512.3,0,0.2,-1,41.5,5.6,602.4,474.3,486.2
193760.8,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,R21,Gray,NaN,86.7,Eye,Fixation,1,4.9,933.4,517.4,0,0.2,-1,41.6,5.7,603.1,474.2,485.9
193764.7,NaN,Trial012,ARTLAND_1_Van Gogh Starry Night.png,0,5027.3,R21,Gray,NaN,86.7,Eye,Fixation,1,4.9,934,515.4,0,0.2,-1,41.6,5.7,604,474.2,485.7
